suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Adhesion,0.04,train,10,18,0.7926532626152039,3.9137771129608154,3.5999999046325684
Adhesion,0.04,train,10,18,0.8331031799316406,3.910228729248047,3.5999999046325684
Adhesion,0.04,train,10,18,0.8730036020278931,3.9078433513641357,3.5999999046325684
Adhesion,0.04,train,11,20,0.8196478486061096,3.932788848876953,3.6363637447357178
Adhesion,0.04,train,11,20,0.8429104089736938,3.9105641841888428,3.6363637447357178
Adhesion,0.04,train,11,20,0.8803152441978455,3.8930885791778564,3.6363637447357178
Adhesion,0.04,train,11,20,0.8988919854164124,3.887997627258301,3.6363637447357178
Adhesion,0.04,train,11,20,0.917387068271637,3.8848023414611816,3.6363637447357178
Adhesion,0.04,train,11,20,0.9276666045188904,3.8789191246032715,3.6363637447357178
Adhesion,0.04,train,11,20,0.9371585249900818,3.8746016025543213,3.6363637447357178
Adhesion,0.04,train,12,23,0.8701345920562744,3.8862192630767822,3.8333332538604736
Adhesion,0.04,train,12,23,0.9017884135246277,3.862018585205078,3.8333332538604736
Adhesion,0.04,train,12,23,0.9104205965995789,3.855694055557251,3.8333332538604736
Adhesion,0.04,train,12,23,0.9189362525939941,3.851290702819824,3.8333332538604736
Adhesion,0.04,train,14,28,0.7933831810951233,3.902061939239502,4.0
Adhesion,0.04,train,16,33,0.7071832418441772,3.9291725158691406,4.125
Adhesion,0.04,train,17,35,0.6909340023994446,3.887251853942871,4.117647171020508
Adhesion,0.04,train,17,35,0.7254337072372437,3.8745555877685547,4.117647171020508
Adhesion,0.04,train,17,35,0.7925918698310852,3.8720388412475586,4.117647171020508
Adhesion,0.04,train,18,38,0.7757808566093445,3.934359550476074,4.222222328186035
Adhesion,0.04,train,18,38,0.8062929511070251,3.912815570831299,4.222222328186035
Adhesion,0.04,train,18,38,0.8393591642379761,3.909900665283203,4.222222328186035
Adhesion,0.04,train,18,38,0.871870756149292,3.913606882095337,4.222222328186035
Adhesion,0.04,train,18,38,0.903252363204956,3.9207544326782227,4.222222328186035
Adhesion,0.04,train,20,42,0.8503574132919312,3.9515442848205566,4.199999809265137
Adhesion,0.04,train,20,42,0.8660327792167664,3.9475414752960205,4.199999809265137
Adhesion,0.04,train,20,42,0.8812665939331055,3.9258835315704346,4.199999809265137
Adhesion,0.04,train,20,42,0.8968883752822876,3.9127554893493652,4.199999809265137
Adhesion,0.04,train,20,42,0.9122904539108276,3.907050371170044,4.199999809265137
Adhesion,0.04,train,20,42,0.923611044883728,3.902554988861084,4.199999809265137
Adhesion,0.04,train,20,42,0.9339731931686401,3.899837017059326,4.199999809265137
Adhesion,0.04,train,21,44,0.9139936566352844,3.900099277496338,4.190476417541504
Adhesion,0.04,train,21,44,0.9261297583580017,3.89906644821167,4.190476417541504
Adhesion,0.04,train,21,44,0.931423544883728,3.8974006175994873,4.190476417541504
Adhesion,0.04,train,21,44,0.9364337921142578,3.8964269161224365,4.190476417541504
