suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Adhesion,0.0,train,10,17,0.8331536054611206,3.9240856170654297,3.4000000953674316
Adhesion,0.0,train,12,21,0.7276144623756409,3.937141180038452,3.5
Adhesion,0.0,train,12,21,0.764740526676178,3.9171841144561768,3.5
Adhesion,0.0,train,12,21,0.7977707386016846,3.9064464569091797,3.5
Adhesion,0.0,train,12,21,0.8233649730682373,3.8987207412719727,3.5
Adhesion,0.0,train,12,21,0.8735499382019043,3.8921985626220703,3.5
Adhesion,0.0,train,12,21,0.8985567092895508,3.8917744159698486,3.5
Adhesion,0.0,train,12,21,0.921256959438324,3.89109206199646,3.5
Adhesion,0.0,train,12,21,0.9383161664009094,3.8889052867889404,3.5
Adhesion,0.0,train,12,21,0.9552281498908997,3.8876826763153076,3.5
Adhesion,0.0,train,12,21,0.9645101428031921,3.8844916820526123,3.5
Adhesion,0.0,train,12,21,0.9649643301963806,3.880647897720337,3.5
Adhesion,0.0,train,12,21,0.9655086398124695,3.875563621520996,3.5
Adhesion,0.0,train,13,23,0.8903284668922424,3.9177980422973633,3.538461446762085
Adhesion,0.0,train,15,28,0.7786352634429932,3.966766595840454,3.7333333492279053
Adhesion,0.0,train,17,32,0.7022232413291931,3.982067346572876,3.7647058963775635
Adhesion,0.0,train,17,32,0.7284846901893616,3.945181369781494,3.7647058963775635
Adhesion,0.0,train,17,32,0.7580682635307312,3.933797597885132,3.7647058963775635
Adhesion,0.0,train,17,33,0.8184565305709839,3.905205726623535,3.882352828979492
Adhesion,0.0,train,19,39,0.7574660778045654,3.9181904792785645,4.1052632331848145
Adhesion,0.0,train,19,39,0.7920743823051453,3.9033255577087402,4.1052632331848145
Adhesion,0.0,train,19,39,0.8285914063453674,3.900468111038208,4.1052632331848145
Adhesion,0.0,train,23,49,0.7147112488746643,3.9655675888061523,4.26086950302124
Adhesion,0.0,train,23,49,0.7521383166313171,3.9392507076263428,4.26086950302124
Adhesion,0.0,train,23,49,0.7859483957290649,3.9320528507232666,4.26086950302124
Adhesion,0.0,train,23,49,0.8383250832557678,3.9326815605163574,4.26086950302124
Adhesion,0.0,train,23,49,0.8643990159034729,3.9365973472595215,4.26086950302124
Adhesion,0.0,train,23,49,0.8895860910415649,3.928622007369995,4.26086950302124
Adhesion,0.0,train,23,49,0.9126745462417603,3.928307294845581,4.26086950302124
Adhesion,0.0,train,23,49,0.9306447505950928,3.910921573638916,4.26086950302124
Adhesion,0.0,train,23,49,0.9478323459625244,3.9063289165496826,4.26086950302124
Adhesion,0.0,train,23,49,0.9593408107757568,3.903059959411621,4.26086950302124
Adhesion,0.0,train,23,49,0.9611799120903015,3.8934836387634277,4.26086950302124
Adhesion,0.0,train,23,49,0.9616391658782959,3.8896102905273438,4.26086950302124
Adhesion,0.0,train,25,53,0.8841661214828491,3.9164130687713623,4.239999771118164
Adhesion,0.0,train,28,62,0.7947866320610046,3.9172844886779785,4.4285712242126465
Adhesion,0.0,train,32,72,0.7070609927177429,3.9497272968292236,4.5
Adhesion,0.0,train,32,72,0.7291309833526611,3.9139866828918457,4.5
Adhesion,0.0,train,32,72,0.7543741464614868,3.9013638496398926,4.5
Adhesion,0.0,train,32,72,0.8018161058425903,3.8927183151245117,4.5
Adhesion,0.0,train,34,76,0.7771389484405518,3.9318323135375977,4.470588207244873
Adhesion,0.0,train,34,76,0.8019879460334778,3.9255223274230957,4.470588207244873
Adhesion,0.0,train,34,76,0.824798583984375,3.924785852432251,4.470588207244873
Adhesion,0.0,train,40,92,0.7188553214073181,3.947899580001831,4.599999904632568
