-- Configuring done (3.1s)
-- Generating done (2.4s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestDeformationEnergy
=== BUILD DONE, STARTING TestDeformationEnergy ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestDeformationEnergy.hpp *****


Entering TestAreaElasticity_1p0_rep1
Starting simulation: AreaElasticity_1.0_rep1
areaElasticity = 1
Target area: 60 units^2
Initial cell count: 6
t=324 h | cells=142 | area=50.1665/60 | coverage=83.6109%
t=325 h | cells=142 | area=50.1571/60 | coverage=83.5952%
t=326 h | cells=141 | area=50.1395/60 | coverage=83.5658%
t=327 h | cells=141 | area=50.1185/60 | coverage=83.5309%
t=328 h | cells=140 | area=50.1441/60 | coverage=83.5736%
t=329 h | cells=138 | area=50.1819/60 | coverage=83.6366%
t=330 h | cells=136 | area=50.266/60 | coverage=83.7767%
t=331 h | cells=139 | area=50.2758/60 | coverage=83.7929%
t=332 h | cells=140 | area=50.2196/60 | coverage=83.6994%
t=333 h | cells=141 | area=50.1669/60 | coverage=83.6115%
t=334 h | cells=140 | area=50.1899/60 | coverage=83.6498%
t=335 h | cells=141 | area=50.1596/60 | coverage=83.5994%
t=336 h | cells=140 | area=50.1397/60 | coverage=83.5662%
t=337 h | cells=140 | area=50.1599/60 | coverage=83.5999%
t=338 h | cells=137 | area=50.1857/60 | coverage=83.6429%
t=339 h | cells=136 | area=50.2008/60 | coverage=83.6681%
t=340 h | cells=137 | area=50.1888/60 | coverage=83.6481%
t=341 h | cells=137 | area=50.2412/60 | coverage=83.7354%
t=342 h | cells=137 | area=50.312/60 | coverage=83.8534%
t=343 h | cells=136 | area=50.3822/60 | coverage=83.9703%
t=344 h | cells=136 | area=50.4493/60 | coverage=84.0821%
t=345 h | cells=136 | area=50.4608/60 | coverage=84.1013%
t=346 h | cells=136 | area=50.4955/60 | coverage=84.1592%
t=347 h | cells=133 | area=50.5026/60 | coverage=84.1711%
t=348 h | cells=132 | area=50.5588/60 | coverage=84.2647%
t=349 h | cells=134 | area=50.5383/60 | coverage=84.2306%
t=350 h | cells=133 | area=50.4588/60 | coverage=84.0979%
t=351 h | cells=134 | area=50.4328/60 | coverage=84.0547%
t=352 h | cells=134 | area=50.4286/60 | coverage=84.0477%
t=353 h | cells=134 | area=50.3722/60 | coverage=83.9537%
t=354 h | cells=134 | area=50.3724/60 | coverage=83.954%
