-- Configuring done (3.5s)
-- Generating done (2.0s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestControl_15x4
=== BUILD DONE, STARTING TestControl_15x4 ===
Running 3 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestControl_15x4.hpp *****


Entering TestControl_rep1
Starting simulation: Control_15x4 rep1
Target area: 60 units^2
Initial cell count: 6
t=80 h | cells=58 | area=38.1815/60 | coverage=63.6359%
t=81 h | cells=58 | area=39.2822/60 | coverage=65.4704%
t=82 h | cells=58 | area=40.2909/60 | coverage=67.1515%
t=83 h | cells=58 | area=41.2501/60 | coverage=68.7502%
t=84 h | cells=58 | area=42.1842/60 | coverage=70.307%
t=85 h | cells=58 | area=43.1149/60 | coverage=71.8582%
t=86 h | cells=58 | area=44.0358/60 | coverage=73.393%
t=87 h | cells=58 | area=44.6295/60 | coverage=74.3825%
t=88 h | cells=58 | area=45.1687/60 | coverage=75.2811%
t=89 h | cells=58 | area=45.6787/60 | coverage=76.1312%
t=90 h | cells=58 | area=46.1896/60 | coverage=76.9827%
t=91 h | cells=62 | area=46.6932/60 | coverage=77.822%
t=92 h | cells=62 | area=47.1777/60 | coverage=78.6294%
t=93 h | cells=62 | area=47.6265/60 | coverage=79.3775%
t=94 h | cells=62 | area=48.0452/60 | coverage=80.0753%
t=95 h | cells=71 | area=48.3663/60 | coverage=80.6105%
t=96 h | cells=71 | area=48.6574/60 | coverage=81.0957%
t=97 h | cells=75 | area=49.0669/60 | coverage=81.7781%
t=98 h | cells=75 | area=49.5532/60 | coverage=82.5886%
t=99 h | cells=75 | area=50.1002/60 | coverage=83.5003%
t=100 h | cells=86 | area=50.5688/60 | coverage=84.2813%
t=101 h | cells=86 | area=51.3158/60 | coverage=85.5264%
t=102 h | cells=86 | area=52.2696/60 | coverage=87.116%
t=103 h | cells=96 | area=53.3224/60 | coverage=88.8707%
t=104 h | cells=96 | area=54.5189/60 | coverage=90.8649%
t=105 h | cells=96 | area=55.8091/60 | coverage=93.0152%
t=106 h | cells=96 | area=57.1344/60 | coverage=95.224%
t=107 h | cells=96 | area=58.4008/60 | coverage=97.3346%
t=108 h | cells=96 | area=59.2582/60 | coverage=98.7636%
t=109 h | cells=96 | area=59.7176/60 | coverage=99.5293%
t=110 h | cells=96 | area=59.934/60 | coverage=99.89%
t=111 h | cells=96 | area=60/60 | coverage=100%
Box fully covered (100%) at t=111 h. Stopping.
Final cell count: 96
Passed
Entering TestControl_rep3
Starting simulation: Control_15x4 rep3
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=6 | area=5.7362/60 | coverage=9.56033%
t=2 h | cells=6 | area=5.76196/60 | coverage=9.60327%
t=3 h | cells=6 | area=5.76308/60 | coverage=9.60513%
t=4 h | cells=6 | area=5.7643/60 | coverage=9.60716%
t=5 h | cells=6 | area=5.76553/60 | coverage=9.60921%
t=6 h | cells=6 | area=5.7667/60 | coverage=9.61117%
t=7 h | cells=6 | area=5.7678/60 | coverage=9.613%
t=8 h | cells=6 | area=5.76882/60 | coverage=9.6147%
t=9 h | cells=6 | area=5.76976/60 | coverage=9.61626%
t=10 h | cells=7 | area=5.7422/60 | coverage=9.57033%
t=11 h | cells=7 | area=5.8348/60 | coverage=9.72467%
t=12 h | cells=7 | area=5.93917/60 | coverage=9.89862%
t=13 h | cells=8 | area=6.04882/60 | coverage=10.0814%
t=14 h | cells=9 | area=6.22546/60 | coverage=10.3758%
t=15 h | cells=11 | area=6.48969/60 | coverage=10.8161%
t=16 h | cells=12 | area=6.96217/60 | coverage=11.6036%
t=17 h | cells=12 | area=7.56208/60 | coverage=12.6035%
t=18 h | cells=12 | area=8.16362/60 | coverage=13.606%
t=19 h | cells=12 | area=8.77471/60 | coverage=14.6245%
t=20 h | cells=12 | area=9.35919/60 | coverage=15.5986%
t=21 h | cells=12 | area=9.86742/60 | coverage=16.4457%
t=22 h | cells=12 | area=10.3729/60 | coverage=17.2881%
t=23 h | cells=12 | area=10.8102/60 | coverage=18.0169%
t=24 h | cells=12 | area=11.1805/60 | coverage=18.6342%
t=25 h | cells=12 | area=11.3808/60 | coverage=18.968%
t=26 h | cells=12 | area=11.4403/60 | coverage=19.0672%
t=27 h | cells=12 | area=11.4472/60 | coverage=19.0787%
t=28 h | cells=12 | area=11.4529/60 | coverage=19.0882%
t=29 h | cells=12 | area=11.4581/60 | coverage=19.0968%
t=30 h | cells=12 | area=11.4628/60 | coverage=19.1047%
t=31 h | cells=12 | area=11.4673/60 | coverage=19.1121%
t=32 h | cells=12 | area=11.4714/60 | coverage=19.1191%
t=33 h | cells=12 | area=11.4754/60 | coverage=19.1257%
t=34 h | cells=14 | area=11.434/60 | coverage=19.0567%
t=35 h | cells=14 | area=11.6046/60 | coverage=19.3411%
t=36 h | cells=14 | area=11.8127/60 | coverage=19.6879%
t=37 h | cells=16 | area=12.0178/60 | coverage=20.0297%
t=38 h | cells=18 | area=12.3809/60 | coverage=20.6349%
t=39 h | cells=22 | area=12.9652/60 | coverage=21.6086%
t=40 h | cells=24 | area=13.8518/60 | coverage=23.0863%
t=41 h | cells=24 | area=15.017/60 | coverage=25.0283%
t=42 h | cells=24 | area=16.2253/60 | coverage=27.0422%
t=43 h | cells=24 | area=17.4183/60 | coverage=29.0304%
t=44 h | cells=24 | area=18.5623/60 | coverage=30.9372%
t=45 h | cells=24 | area=19.5739/60 | coverage=32.6232%
t=46 h | cells=24 | area=20.5594/60 | coverage=34.2656%
t=47 h | cells=24 | area=21.3807/60 | coverage=35.6346%
t=48 h | cells=24 | area=22.0502/60 | coverage=36.7504%
t=49 h | cells=24 | area=22.4887/60 | coverage=37.4811%
t=50 h | cells=24 | area=22.6752/60 | coverage=37.792%
t=51 h | cells=24 | area=22.7261/60 | coverage=37.8769%
