-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=49 h | cells=26 | area=18.5974/60 | coverage=30.9957%
t=50 h | cells=26 | area=19.303/60 | coverage=32.1716%
t=51 h | cells=26 | area=19.982/60 | coverage=33.3034%
t=52 h | cells=29 | area=20.6725/60 | coverage=34.4542%
t=53 h | cells=29 | area=21.6188/60 | coverage=36.0314%
t=54 h | cells=29 | area=22.5788/60 | coverage=37.6313%
t=55 h | cells=33 | area=23.5439/60 | coverage=39.2398%
t=56 h | cells=33 | area=24.5732/60 | coverage=40.9553%
t=57 h | cells=33 | area=25.6244/60 | coverage=42.7074%
t=58 h | cells=33 | area=26.4808/60 | coverage=44.1347%
t=59 h | cells=33 | area=27.2054/60 | coverage=45.3423%
t=60 h | cells=33 | area=27.7734/60 | coverage=46.2889%
t=61 h | cells=33 | area=28.3374/60 | coverage=47.229%
t=62 h | cells=33 | area=28.8949/60 | coverage=48.1582%
t=63 h | cells=33 | area=29.2473/60 | coverage=48.7456%
t=64 h | cells=33 | area=29.5919/60 | coverage=49.3198%
t=65 h | cells=33 | area=29.9374/60 | coverage=49.8957%
t=66 h | cells=33 | area=30.2409/60 | coverage=50.4015%
t=67 h | cells=35 | area=30.4977/60 | coverage=50.8295%
t=68 h | cells=35 | area=30.707/60 | coverage=51.1783%
t=69 h | cells=35 | area=30.8984/60 | coverage=51.4974%
t=70 h | cells=35 | area=31.0915/60 | coverage=51.8191%
t=71 h | cells=41 | area=31.2673/60 | coverage=52.1121%
t=72 h | cells=41 | area=31.5985/60 | coverage=52.6641%
t=73 h | cells=46 | area=32.0337/60 | coverage=53.3894%
t=74 h | cells=46 | area=32.5913/60 | coverage=54.3188%
